Subject,Gender,Birthdate,Instruments,YearsMusicalExperience,HoursPerWeek
1,F,03/19/1998,"piano, flute",6,4
2,M,01/11/1997,"piano, drums",12,6
3,M,01/15/1997,"guitar, violin",8,2
4,F,04/12/1998,"vioin, voice",6,2
5,M,01/21/1997,"guitar, piano",5,10
6,F,03/19/1999,flute,11,4
7,M,09/03/1996,oboe,4,10
8,M,04/03/1999,"violin, piano, guitar",14,2
9,F,01/22/1999,clarinet,7,8
11,F,11/28/1998,"cello, piano",11,10
12,M,10/21/1996,"cello, guitar, piano",16,1
13,F,09/29/1998,violin,15,7
14,M,07/15/1998,violin,8,6
15,F,11/23/1998,trombone,10,5
16,F,07/01/1996,oboe,14,10
17,F,04/29/1997,voice,7,8
18,F,02/25/1996,"voice, violin",7,6
19,F,06/03/1999,"piano, voice, organ",12,3
20,M,04/23/1998,"guitar, keyboard, voice",10,3
21,F,05/12/1997,violin,15,25
22,F,09/15/1997,"voice, piano",8,12
23,F,06/22/1997,piano,7,12
24,F,04/06/1998,erhu,15,7
25,F,04/22/1997,"piano, violin",11,14
26,M,12/18/1995,clarinet,13,10
28,M,04/20/1997,violin,6,6
29,F,04/18/1999,flute,9,4
31,F,01/13/1996,piano,13,1
32,F,10/21/1999,piano,10,4
33,F,12/11/1997,french horn,9,0
34,N,01/28/1999,"voice, flute, guitar",9,8
35,M,12/19/1997,"guitar, piano",10,15
36,M,01/10/1996,guitar,15,7
37,F,03/07/1999,"cello, voice",15,7
38,M,07/21/1997,"bassoon, organ",13,6
39,M,07/07/1996,"organ, piano",10,6
40,M,10/18/1996,"piano, french horn",12,2
41,F,03/10/1997,trumpet,5,4
42,F,06/26/1997,"piano, clarinet",4,4
43,F,02/15/1999,"flute, ukulele",10,8
44,M,07/25/1998,mallet percussion,8,0
